QualifiedApiName,NamespacePrefix,Label
AssociatedLocation,,Associated Location
AssociatedLocationHistory,,Associated Location History
AssociatedLocationChangeEvent,,Associated Location Change Event
PackageInstallRequest,,Subscriber Package Install Request
PackageUploadRequest,,Metadata Package Upload Request
PackageBooleanValue,,Feature Parameter Boolean
PackageIntegerValue,,Feature Parameter Integer
PackageDateValue,,Feature Parameter Date
ProcessInstanceNode,,Process Instance Node
FlexQueueItem,,Flex Queue Item
ApexTestRunResult,,Apex Test Run Result
ApexTestResultLimits,,Apex Test Result Limit
ApexEmailNotification,,Apex Email Notification
ApexTestSuite,,Apex Test Suite
TestSuiteMembership,,Test Suite Membership
ApexDebuggerSession,,Apex Debugger Session
ApexDebuggerBreakpoint,,Apex Debugger Breakpoint
ApexDebuggerRequest,,Apex Debugger Request
ApexDebuggerEvent,,Apex Debugger Event
LmaApiSession,,License Manager Application Session
LmaApiSessionShare,,License Manager Application Session Share
LmaApiSessionOwnerSharingRule,,License Manager Application Session Owner Rule
DebugLevel,,Debug Level
TraceFlag,,Trace Flag
IDEPerspective,,IDE Perspective
IDEWorkspace,,IDE Workspace
ApexExecutionOverlayAction,,Apex Execution Overlay Action
MetadataContainer,,Metadata Container
MetadataContainerMember,,Metadata Container Member
ApexClassMember,,Metadata Container Member
ApexTriggerMember,,Metadata Container Member
ApexPageMember,,Metadata Container Member
ApexComponentMember,,Metadata Container Member
WorkflowRuleMember,,Metadata Container Member
WorkflowFieldUpdateMember,,Metadata Container Member
WorkflowTaskMember,,Metadata Container Member
WorkflowAlertMember,,Metadata Container Member
WorkflowOutboundMessageMember,,Metadata Container Member
ValidationRuleMember,,Metadata Container Member
CustomFieldMember,,Metadata Container Member
ContainerAsyncRequest,,Container Async Request
ApexExecutionOverlayResult,,Apex Execution Overlay Result
ApexCodeCoverage,,Apex Code Coverage Data
ApexCodeCoverageAggregate,,Apex Code Coverage Aggregate Data
ApexOrgWideCoverage,,Apex Org-wide Code Coverage
OperationLog,,Operation Log
ApexPageInfo,,Apex Page Info
PermissionSetLicenseAssign,,Permission Set License Assignment
GrantedByLicense,,Setting Granted By License
TenantUsageEntitlement,,Tenant Usage Entitlement
PermissionSet,,Permission Set
CustomPermissionDependency,,Custom Permission Dependency
CustomPermission,,Custom Permission
SessionPermSetActivation,,Session Permission Set Activation
ExternalServiceRegistration,,External Service Registration
CalendarModel,,Calendar Model
CalendarModelShare,,Calendar Model Share
CalendarModelOwnerSharingRule,,Calendar Model Owner Rule
CalendarView,,Calendar
CalendarViewShare,,Calendar Share
CalendarViewOwnerSharingRule,,Calendar Owner Rule
CalendarViewChangeEvent,,Calendar Change Event
SiteDetail,,Site Detail
FlowInterview,,Flow Interview
FlowInterviewShare,,Flow Interview Share
FlowInterviewOwnerSharingRule,,Flow Interview Owner Rule
InteractionRefOrValueLocalization,,Translation
AccountCleanInfo,,Account Clean Info
AccountCleanInfoChangeEvent,,Account Clean Info Change Event
ContactCleanInfo,,Contact Clean Info
ContactCleanInfoChangeEvent,,Contact Clean Info Change Event
LeadCleanInfo,,Lead Clean Info
CleanLeadBackupShare,,Data.com Clean Lead Backup Share
CleanLeadBackupOwnerSharingRule,,Data.com Clean Lead Backup Owner Rule
DataDotComEntitySetting,,Data.com Entity Setting
DatacloudContact,,Data.com Contact
DatacloudPurchaseUsage,,Data.com Usage
DatacloudOwnedEntity,,Data.com Owned Entity
DatacloudCompany,,Data.com Company
DatacloudAddress,,Data.com Address
EmailDomainKey,,Email Domain Key
LiveChatTranscript,,Chat Transcript
LiveChatTranscriptShare,,Chat Transcript Share
LiveChatTranscriptOwnerSharingRule,,Chat Transcript Owner Rule
LiveChatTranscriptHistory,,Chat Transcript History
LiveChatTranscriptFeed,,Chat Transcript Feed
LiveChatTranscriptChangeEvent,,Chat Transcript Change Event
LiveChatTranscriptSkill,,LiveChatTranscriptSkill
LiveChatTranscriptEvent,,Chat Transcript Event
LiveChatTranscriptEventChangeEvent,,Chat Transcript Event Change Event
LiveChatVisitor,,Chat Visitor
LiveChatVisitorChangeEvent,,Chat Visitor Change Event
Skill,,Skill
SkillChangeEvent,,Skill Change Event
SkillUser,,Skill User
SkillProfile,,Skill Profile
LiveChatUserConfig,,Chat Agent Configuration
LiveChatUserConfigUser,,Chat User Config User
LiveChatUserConfigProfile,,Chat User Config Profile
SupervisorAgentConfigSkill,,SupervisorAgentConfigSkill
UserConfigTransferSkill,,UserConfigTransferSkill
UserConfigTransferButton,,UserConfigTransferButton
LiveChatDeployment,,Chat Deployment
LiveChatButton,,Chat Button
LiveChatButtonSkill,,LiveChatButtonSkill
LiveChatButtonDeployment,,LiveChatButtonDeployment
QuickText,,Quick Text
QuickTextShare,,Quick Text Share
QuickTextOwnerSharingRule,,Quick Text Owner Rule
QuickTextHistory,,Quick Text History
QuickTextChangeEvent,,Quick Text Change Event
LiveAgentSession,,Chat Session
LiveAgentSessionShare,,Chat Session Share
LiveAgentSessionOwnerSharingRule,,Chat Session Owner Rule
LiveAgentSessionHistory,,Chat Session History
LiveAgentSessionChangeEvent,,Chat Session Change Event
LiveChatBlockingRule,,Chat Blocking Rule
LiveChatSensitiveDataRule,,Sensitive Data Rule
ServicePresenceStatus,,Service Presence Status
ServicePresenceStatusInfo,,Service Presence Status Info
ServiceChannel,,Service Channel
ServiceChannelStatus,,Service Channel Status
UserServicePresence,,User Presence
UserServicePresenceShare,,User Presence Share
UserServicePresenceOwnerSharingRule,,User Presence Owner Rule
UserServicePresenceChangeEvent,,User Presence Change Event
AgentWork,,Agent Work
AgentWorkShare,,Agent Work Share
AgentWorkOwnerSharingRule,,Agent Work Owner Rule
AgentWorkChangeEvent,,Agent Work Change Event
QueueRoutingConfig,,Routing Configuration
PendingServiceRouting,,Pending Service Routing
PendingServiceRoutingShare,,Pending Service Routing Share
PendingServiceRoutingOwnerSharingRule,,Pending Service Routing Owner Rule
PendingServiceRoutingChangeEvent,,Pending Service Routing Change Event
PresenceUserConfig,,Presence Configuration
PresenceUserConfigUser,,Presence Configuration for User
PresenceUserConfigProfile,,Presence Configuration for Profile
PresenceUserConfigInfo,,Presence User Configuration Info
PresenceDeclineReason,,Presence Decline Reason
PresenceConfigDeclineReason,,Presence Configuration Decline Reason
SOSDeployment,,SOS Deployment
SOSSession,,SOS Session
SOSSessionShare,,SOS Session Share
SOSSessionOwnerSharingRule,,SOS Session Owner Rule
SOSSessionHistory,,SOS Session History
SOSSessionFeed,,SOS Session Feed
SOSSessionActivity,,SOS Session Activity
ModerationRule,,Moderation Rule
ModerationRuleLocalization,,Translation
KeywordList,,Keyword List
UserCriteria,,User Criteria
NetworkActivityAudit,,Audited Object
NetworkSelfRegistration,,Experience Self Registration
NetworkPageOverride,,Experience Page Override
NavigationMenu,,Navigation Link Set
NavigationMenuItem,,Navigation Menu Item
NavigationMenuItemLocalization,,Translation
CommunityWorkspacesNode,,Experience Workspaces Node
ReputationLevel,,Reputation Level
ReputationLevelLocalization,,Translation
ReputationPointsRule,,Reputation Points Rule
Stamp,,Stamp
StampLocalization,,Translation
StampAssignment,,Stamp Assignment
AuraDefinitionBundle,,Aura Component Bundle
AuraDefinitionBundleInfo,,Aura Definition Bundle Info
AuraDefinition,,Lightning Component Definition
AuraDefinitionChange,,Metadata Container Member
AuraDefinitionInfo,,Aura Definition Info
CspTrustedSite,,Trusted URL
SandboxInfo,,Sandbox Info
SandboxProcess,,Sandbox Process
CopyExport,,Copy Export
SandboxObserver2,,Sandbox Observer
CopyExportChunk2,,Export Chunk
CopyImportChunk2,,Import Chunk
PartitionLevelScheme,,Partition Level Scheme
SampledEntity,,Sampled Entity
SandOmInfo,,SandOm Info
SandOmInfoDetail,,SandOm Info Detail
SandOmObserver,,SandOm Observer
ChunkableTask,,Chunkable Task
ChunkableEntityTally,,Chunkable Entity Tally
ChunkableEntityChunk,,Chunkable Entity Chunk
ChunkableEntityTally2,,Chunkable Entity Tally
ChunkableEntityChunk2,,Chunkable Entity Chunk
TabDefinition,,Tab Definition
ColorDefinition,,Color Definition
IconDefinition,,Icon Definition
AppDefinition,,App Definition
AppTabMember,,App Tab Member
UserAppInfo,,Last Used App
UserAppInfoChangeEvent,,Last Used App Change Event
SocialPersona,,Social Persona
SocialPersonaHistory,,Social Persona History
SocialPost,,Social Post
SocialPostShare,,Social Post Share
SocialPostOwnerSharingRule,,Social Post Owner Rule
SocialPostHistory,,Social Post History
SocialPostFeed,,Social Post Feed
SocialPostChangeEvent,,Social Post Change Event
ExternalSocialAccount,,Managed Social Account
AppMenuItem,,AppMenuItem
UserAppMenuItem,,Application
UserAppMenuCustomization,,UserAppMenuCustomization
UserAppMenuCustomizationShare,,UserAppMenuCustomization Share
UserAppMenuCustomizationOwnerSharingRule,,UserAppMenuCustomization Owner Rule
MenuItem,,MenuItem
AuthConfig,,Auth Config
SamlSsoConfig,,SAML Sso Setting
SessionLevelPolicy,,Session Level Policy
AuthConfigProviders,,Authentication Configuration Auth. Provider
OauthToken,,Oauth Token
ThirdPartyAccountLink,,Third Party Account Link
ExternalDataUserAuth,,External Data User Authentication
UserProvisioningConfig,,User Provisioning Configuration
AssetTokenEvent,,Asset Token Event
UserProvisioningRequest,,User Provisioning Request
UserProvisioningRequestShare,,User Provisioning Request Share
UserProvisioningRequestOwnerSharingRule,,User Provisioning Request Owner Rule
UserProvisioningLog,,User Provisioning Log
UserProvMockTarget,,User Provisioning Mock Target
UserProvAccount,,User Provisioning Account
UserProvAccountStaging,,User Provisioning Account Staging
SPSamlAttributes,,Service Provider SAML Attribute
TwoFactorTempCode,,Temporary Verification Code
TwoFactorInfo,,Two Factor Info
TwoFactorMethodsInfo,,Two Factor Registration
TransactionSecurityPolicy,,Transaction Security Policy
EmailCapture,,EmailCapture
DataDotComCleanMetrics,,Data.com Clean Metrics
NetworkCustomerLoginMetrics,,Customer Community Login Metrics
NetworkPartnerLoginMetrics,,Partner Community Login Metrics
NetworkCustMemberMetrics,,Customer Community Member Metrics
NetworkPartnerMemberMetrics,,Partner Community Member Metrics
NetworkPowerCustomerLoginMetrics,,Power Customer Community Login Metrics
NetworkPowerCustomerMemberMetrics,,Power Customer Community Member Metrics
NetworkRegularMemberMetrics,,Regular Site Member Metrics
NetworkActiveMemberMetrics,,Site All Member Metric
NetworkPublicUsageDailyMetrics,,Network Public Usage Daily Metrics
ProcessMetrics,,Process Metric
VisualforceMetrics,,Visualforce Metrics
DataDotComCleanPrefMetrics,,Data.com Clean Pref Metrics
XCleanMatchRateMetrics,,Data Integration Match Rate Metric
DataAssessmentBIMetrics,,Data Assessment BI Metrics
Canvas,,Canvas
UserCustomBadge,,User Custom Badge
UserCustomBadgeLocalization,,Translation
ProfileSkill,,Skill
ProfileSkillShare,,Skill Share
ProfileSkillOwnerSharingRule,,Skill Owner Rule
ProfileSkillHistory,,Skill History
ProfileSkillFeed,,Skill Feed
ProfileSkillUser,,Skill User
ProfileSkillUserHistory,,Skill User History
ProfileSkillUserFeed,,Skill User Feed
ProfileSkillEndorsement,,Endorsement
ProfileSkillEndorsementHistory,,Endorsement History
ProfileSkillEndorsementFeed,,Endorsement Feed
ProfileSkillEndorsementChangeEvent,,Endorsement Change Event
WorkThanks,,Thanks
WorkThanksShare,,Thanks Share
WorkThanksOwnerSharingRule,,Thanks Owner Rule
WorkThanksChangeEvent,,Thanks Change Event
WorkBadgeDefinition,,Badge
WorkBadgeDefinitionShare,,Badge Share
WorkBadgeDefinitionOwnerSharingRule,,Badge Owner Rule
WorkBadgeDefinitionHistory,,Badge History
WorkBadgeDefinitionFeed,,Badge Feed
WorkBadgeDefinitionChangeEvent,,Badge Change Event
WorkBadge,,Badge Received
WorkBadgeChangeEvent,,Badge Received Change Event
WorkAccess,,Access
WorkAccessShare,,Access Share
WorkAccessOwnerSharingRule,,Access Owner Rule
WorkAccessChangeEvent,,Access Change Event
MobileApplicationDetail,,Mobile Application Detail
InstalledMobileApp,,Installed Mobile App
Territory2Type,,Territory Type
Territory2Model,,Territory Model
Territory2ModelHistory,,Territory Model History
Territory2ModelFeed,,Territory Model Feed
Territory2ModelChangeEvent,,Territory Model Change Event
ObjectTerritory2AssignmentRule,,Object Territory Assignment Rule
ObjectTerritory2AssignmentRuleItem,,Object Territory Assignment Rule Item
RuleTerritory2Association,,Rule Territory Association
NotifDeliveryUserPrefShare,,Notification Delivery User Preference Share
NotifDeliveryUserPrefOwnerSharingRule,,Notification Delivery User Preference Owner Rule
CustomNotificationType,,Custom Notification Type
UserListView,,User List View
UserListViewCriterion,,User List View Criteria
ListViewChart,,List View Chart
ListViewChartInstance,,List View Chart Instance
ConferenceNumber,,Conference Number
ConferenceNumberChangeEvent,,Conference Number Change Event
ExternalEventMapping,,External Event Mapping
ExternalEventMappingShare,,External Event Mapping Share
ExternalEventMappingOwnerSharingRule,,External Event Mapping Owner Rule
ExternalEvent,,External Event
ExternalEventChangeEvent,,External Event Change Event
MatchingInformation,,Matching Information
TodayGoal,,Goal
TodayGoalShare,,Goal Share
TodayGoalOwnerSharingRule,,Goal Owner Rule
TodayGoalChangeEvent,,Goal Change Event
AssistantRecommendationShare,,Assistant Recommendation Share
AssistantRecommendationOwnerSharingRule,,Assistant Recommendation Owner Rule
AssistantInteractionShare,,Assistant Interaction Share
AssistantInteractionOwnerSharingRule,,Assistant Interaction Owner Rule
VoiceVendorInfo,,Voice Vendor Info
VoiceVendorLine,,Voice Vendor Line
VoiceVendorLineShare,,Voice Vendor Line Share
VoiceVendorLineOwnerSharingRule,,Voice Vendor Line Owner Rule
DuplicateRule,,Duplicate Rule
DuplicateRecordSet,,Duplicate Record Set
DuplicateRecordItem,,Duplicate Record Item
MatchingRule,,Matching Rule
MatchingRuleItem,,Matching Rule Item
Lens,,Lens
EdgeMart,,Dataset
InsightsExternalData,,External Data
InsightsExternalDataPart,,External Data Part
WaveAnnotationTargetFeed,,Wave Annotation Feed
ExternalDataSource,,External Data Source
NamedCredential,,Named Credential
BackgroundOperation,,Background Operation
LeadConvertSettings,,Lead Convert Setting
TenantSecret,,Tenant Secret
PlatformAction,,Platform Action
PlatformActionList,,Platform Action List
PlatformActionListItem,,Platform Action List Item
InvocableAction,,Invocable Action
InvocableActionParameter,,Invocable Action Parameter
InvocableActionPicklist,,Invocable Action Picklist
MailAppOwaWhitelist,,Microsoft® Outlook® Web App Domain
ExchangeUserMappingShare,,User Mapping Share
ExchangeUserMappingOwnerSharingRule,,User Mapping Owner Rule
OutgoingEmail,,Outgoing Email
OutgoingEmailRelation,,Outgoing Email Relation
PathAssistant,,Path Assistant
PathAssistantStepItem,,Path Assistant Step Item
PathAssistantStepInfo,,Path Assistant Step Info
PathAssistantStepInfoLocalization,,Translation
CleanDataService,,Data Service
CleanRule,,Data Integration Rule
DataAssessmentMetric,,Data Assessment Metric
DataAssessmentFieldMetric,,Data Assessment Field Metric
DataAssessmentValueMetric,,Data Assessment Field Value Metric
SetupApp,,Setup App
UserSetupAppInfo,,Last Used Setup App
SetupNode,,Setup Node
AssistantProgressShare,,Assistant Progress Share
AssistantProgressOwnerSharingRule,,Assistant Progress Owner Rule
ActionPlan,,Action Plan
ActionPlanShare,,Action Plan Share
ActionPlanOwnerSharingRule,,Action Plan Owner Rule
ActionPlanFeed,,Action Plan Feed
ActionPlanChangeEvent,,Action Plan Change Event
ActionPlanItem,,Action Plan Item
ActionPlanItemChangeEvent,,Action Plan Item Change Event
ObjectMapping,,Object Mapping
ObjectMappingField,,Object Mapping Field
PlatformCachePartition,,Platform Cache Partition
PlatformCachePartitionType,,Platform Cache Partition Type
SecurityHealthCheckRisks,,Security Health Check Risks
SecurityHealthCheck,,Security Health Check
SecurityCustomBaseline,,Security Custom Baseline
EmbeddedServiceConfig,,Embedded Service Deployment
EmbeddedServiceLiveAgent,,Embedded Service Deployment for Chat
EmbeddedServiceBranding,,Embedded Service Branding
EmbeddedServiceQuickAction,,Pre-chat Form Quick Action
EmbeddedServiceDetail,,Embedded Service
FieldMapping,,Field Mapping
FieldMappingRow,,Field Mapping Row
FieldMappingField,,Field Mapping Field
CommunityTemplateDefinition,,Experience Builder Template
CommunityThemeDefinition,,Experience Builder Theme
ProfileActionOverride,,Action Override By Profile and Record Type
OverridableEntities,,Overridable Entity
CompactLayout,,Compact Layout
CompactLayoutMapping,,Compact Layout Mapping
InsightUserValueShare,,Insight User Value Share
InsightUserValueOwnerSharingRule,,Insight User Value Owner Rule
UiFormulaRule,,Ui Formula Rule
UiFormulaCriterion,,Ui Formula Criterion
FormulaOperator,,Formula Operator
FormulaFunction,,Formula Function
FormulaFunctionCategory,,Formula Function Category
GlobalVariable,,Global Variable
GlobalVariableType,,Global Variable Type
Survey,,Survey
SurveyShare,,Survey Share
SurveyOwnerSharingRule,,Survey Owner Rule
SurveyFeed,,Survey Feed
SurveyChangeEvent,,Survey Change Event
SurveyVersion,,Survey Version
SurveyVersionChangeEvent,,Survey Version Change Event
SurveyPage,,Survey Page
SurveyPageChangeEvent,,Survey Page Change Event
SurveyQuestion,,Survey Question
SurveyQuestionChangeEvent,,Survey Question Change Event
SurveyQuestionChoice,,Survey Question Choice
SurveyQuestionChoiceChangeEvent,,Survey Question Choice Change Event
SurveyInvitation,,Survey Invitation
SurveyInvitationShare,,Survey Invitation Share
SurveyInvitationOwnerSharingRule,,Survey Invitation Owner Rule
SurveyInvitationChangeEvent,,Survey Invitation Change Event
SurveyQuestionResponse,,Survey Question Response
SurveyQuestionResponseChangeEvent,,Survey Question Response Change Event
SignupRequest,,Signup Request
SignupRequestShare,,Signup Request Share
SignupRequestOwnerSharingRule,,Signup Request Owner Rule
SignupRequestHistory,,Signup Request History
SignupRequestFeed,,Signup Request Feed
SettingsTemplate,,Entity
FormulaParticle,,Formula Particle
DataAssessmentConfigItem,,Data Assessment Configuration Item
ForecastingDisplayedFamily,,Forecasting Displayed Family
MaintenancePlan,,Maintenance Plan
MaintenancePlanShare,,Maintenance Plan Share
MaintenancePlanOwnerSharingRule,,Maintenance Plan Owner Rule
MaintenancePlanHistory,,Maintenance Plan History
MaintenancePlanFeed,,Maintenance Plan Feed
MaintenancePlanChangeEvent,,Maintenance Plan Change Event
MessagingChannel,,Messaging Channel
MessagingLink,,Messaging Link
ForecastingPrediction,,Forecasting Prediction
ServiceTerritoryLocation,,Service Territory Location
ServiceTerritoryLocationHistory,,Territory Location History
ServiceTerritoryLocationFeed,,Service Territory Location Feed
ServiceTerritoryLocationChangeEvent,,Service Territory Location Change Event
SurveyResponse,,Survey Response
SurveyResponseChangeEvent,,Survey Response Change Event
InstalledSubscriberPackageVersion,,Installed Second Generation Package Version
Package2Member,,Second Generation Package Member
Package2VersionBuildRequest,,Second Generation Package Version Build Request
SubscriberPackageVersionInstallRequest,,Second Generation Package Version Install Request
SubscriberPackageVersionUninstallRequest,,Second Generation Package Version Uninstall Request
MaintenanceAsset,,Maintenance Asset
MaintenanceAssetHistory,,Maintenance Asset History
MaintenanceAssetFeed,,Maintenance Asset Feed
MaintenanceAssetChangeEvent,,Maintenance Asset Change Event
SandOmExportedBlob,,SandOm Exported Blob
ProductRequest,,Product Request
ProductRequestShare,,Product Request Share
ProductRequestOwnerSharingRule,,Product Request Owner Rule
ProductRequestHistory,,Product Request History
ProductRequestFeed,,Product Request Feed
ProductRequestChangeEvent,,Product Request Change Event
PackageVersionInstallRequestError,,Second Generation Package Version Install Request Error
ProductTransfer,,Product Transfer
ProductTransferShare,,Product Transfer Share
ProductTransferOwnerSharingRule,,Product Transfer Owner Rule
ProductTransferHistory,,Product Transfer History
ProductTransferFeed,,Product Transfer Feed
ProductTransferChangeEvent,,Product Transfer Change Event
DomainProvision,,Domain Provision
PushUpgradeExcludedOrg,,Push Upgrade Excluded Org
BrandingSetProperty,,Branding Set Property
BrandingSet,,Branding Set
ForecastingPredictionReason,,Forecasting Prediction Reason
PredictionDefinitionField,,Prediction Definition Field
ProductRequestLineItem,,Product Request Line Item
ProductRequestLineItemHistory,,Product Request Line Item History
ProductRequestLineItemFeed,,Product Request Line Item Feed
ProductRequestLineItemChangeEvent,,Product Request Line Item Change Event
ChunkableTask2,,Chunkable Task
Shipment,,Shipment
ShipmentShare,,Shipment Share
ShipmentOwnerSharingRule,,Shipment Owner Rule
ShipmentHistory,,Shipment History
ShipmentFeed,,Shipment Feed
ShipmentChangeEvent,,Shipment Change Event
OutOfOffice,,Out Of Office
ForecastingPredictionTrend,,Forecasting Prediction Trend
ChatterExtension,,Extension
ChatterExtensionLocalization,,Translation
TimeSheet,,Time Sheet
TimeSheetShare,,Time Sheet Share
TimeSheetOwnerSharingRule,,Time Sheet Owner Rule
TimeSheetHistory,,Time Sheet History
TimeSheetFeed,,Time Sheet Feed
TimeSheetChangeEvent,,Time Sheet Change Event
VisualforceAccessMetrics,,Visualforce Access Metric
AssetRelationship,,Asset Relationship
AssetRelationshipHistory,,Asset Relationship History
AssetRelationshipFeed,,Asset Relationship Feed
AssetRelationshipChangeEvent,,Asset Relationship Change Event
TimeSheetEntry,,Time Sheet Entry
TimeSheetEntryHistory,,Time Sheet Entry History
TimeSheetEntryFeed,,Time Sheet Entry Feed
TimeSheetEntryChangeEvent,,Time Sheet Entry Change Event
MessagingEndUser,,Messaging User
MessagingEndUserShare,,Messaging User Share
MessagingEndUserOwnerSharingRule,,Messaging User Owner Rule
MessagingEndUserHistory,,Messaging User History
MessagingEndUserChangeEvent,,Messaging User Change Event
PackageVersionUninstallRequestError,,Second Generation Package Version Uninstall Request Error
CMSConnectAsset,,CMS Connect Asset
CMSConnectLanguage,,CMS Connect Language
CMSConnectSource,,CMS Connect Source
SurveyEmailBranding,,Survey Email Branding
OrgLifecycleNotification,,Org Lifecycle Notification
NetworkAffinity,,Default Community
WaveAssetEvent,,Wave Asset Event
ChatterExtensionConfig,,Chatter Extension Configuration
Audience,,Audience
ComponentResponseCacheShare,,Home Component Response Cache Share
ComponentResponseCacheOwnerSharingRule,,Home Component Response Cache Owner Rule
OmniSupervisorConfig,,Omni Supervisor Configuration
OmniSupervisorConfigGroup,,Omni Supervisor Configuration for Public Group
OmniSupervisorConfigProfile,,Omni Supervisor Configuration for Profile
OmniSupervisorConfigUser,,Omni Supervisor Configuration for User
CaseExternalDocument,,Case External Document
ChannelProgram,,Channel Program
ChannelProgramShare,,Channel Program Share
ChannelProgramOwnerSharingRule,,Channel Program Owner Rule
ChannelProgramHistory,,Channel Program History
ChannelProgramFeed,,Channel Program Feed
ChannelProgramLevel,,Channel Program Level
ChannelProgramLevelShare,,Channel Program Level Share
ChannelProgramLevelOwnerSharingRule,,Channel Program Level Owner Rule
ChannelProgramLevelHistory,,Channel Program Level History
ChannelProgramLevelFeed,,Channel Program Level Feed
ChannelProgramMember,,Channel Program Member
ChannelProgramMemberShare,,Channel Program Member Share
ChannelProgramMemberOwnerSharingRule,,Channel Program Member Owner Rule
ChannelProgramMemberHistory,,Channel Program Member History
ChannelProgramMemberFeed,,Channel Program Member Feed
ForecastingPredictionElement,,Forecasting Prediction Element
UserLicenseMetrics,,User License Metrics
ServiceCrew,,Service Crew
ServiceCrewShare,,Service Crew Share
ServiceCrewOwnerSharingRule,,Service Crew Owner Rule
ServiceCrewHistory,,Service Crew History
ServiceCrewFeed,,Service Crew Feed
ServiceCrewChangeEvent,,Service Crew Change Event
ServiceCrewMember,,Service Crew Member
ServiceCrewMemberHistory,,Service Crew Member History
ServiceCrewMemberFeed,,Service Crew Member Feed
ServiceCrewMemberChangeEvent,,Service Crew Member Change Event
NetworkCustomerDailyLoginMetrics,,Customer Community Daily Unique Login Metrics
NetworkPCustDailyLoginMetrics,,Power Customer Community Daily Unique Login Metrics
NetworkPartnerDailyLoginMetrics,,Partner Community Daily Unique Login Metrics
LogoutEventStream,,Logout Event Stream
MarketingForm,,Marketing Form
MarketingFormFeed,,Marketing Form Feed
MarketingFormChangeEvent,,Marketing Form Change Event
ListEmail,,List Email
ListEmailShare,,List Email Share
ListEmailOwnerSharingRule,,List Email Owner Rule
ListEmailChangeEvent,,List Email Change Event
ListEmailRecipientSource,,List Email Recipient Source
ListEmailSentResult,,List Email Sent Result
ListEmailSentResultChangeEvent,,List Email Sent Result Change Event
MobileSettingsAssignment,,Mobile Settings Assignment
SandboxRelayObserver,,Sandbox Relay Observer
PartnerFundAllocation,,Partner Fund Allocation
PartnerFundAllocationShare,,Partner Fund Allocation Share
PartnerFundAllocationOwnerSharingRule,,Partner Fund Allocation Owner Rule
PartnerFundAllocationHistory,,Partner Fund Allocation History
PartnerFundAllocationFeed,,Partner Fund Allocation Feed
PartnerFundClaim,,Partner Fund Claim
PartnerFundClaimShare,,Partner Fund Claim Share
PartnerFundClaimOwnerSharingRule,,Partner Fund Claim Owner Rule
PartnerFundClaimHistory,,Partner Fund Claim History
PartnerFundClaimFeed,,Partner Fund Claim Feed
PartnerFundRequest,,Partner Fund Request
PartnerFundRequestShare,,Partner Fund Request Share
PartnerFundRequestOwnerSharingRule,,Partner Fund Request Owner Rule
PartnerFundRequestHistory,,Partner Fund Request History
PartnerFundRequestFeed,,Partner Fund Request Feed
PartnerMarketingBudget,,Partner Marketing Budget
PartnerMarketingBudgetShare,,Partner Marketing Budget Share
PartnerMarketingBudgetOwnerSharingRule,,Partner Marketing Budget Owner Rule
PartnerMarketingBudgetHistory,,Partner Marketing Budget History
PartnerMarketingBudgetFeed,,Partner Marketing Budget Feed
ScorecardMetric,,Scorecard Metric
NetworkUserHistoryRecent,,Experience User Access History Recent
Scorecard,,Scorecard
ScorecardShare,,Scorecard Share
ScorecardOwnerSharingRule,,Scorecard Owner Rule
UserPermissionAccess,,User Permission Access
MessagingSession,,Messaging Session
MessagingSessionShare,,Messaging Session Share
MessagingSessionOwnerSharingRule,,Messaging Session Owner Rule
MessagingSessionHistory,,Messaging Session History
MessagingSessionFeed,,Messaging Session Feed
MessagingSessionChangeEvent,,Messaging Session Change Event
ActionPlanTemplate,,Action Plan Template
ActionPlanTemplateShare,,Action Plan Template Share
ActionPlanTemplateOwnerSharingRule,,Action Plan Template Owner Rule
ActionPlanTemplateChangeEvent,,Action Plan Template Change Event
ActionPlanTemplateItem,,Action Plan Template Item
ActionPlanTemplateItemChangeEvent,,Action Plan Template Item Change Event
ActionPlanTemplateItemValue,,Action Plan Template Item Value
ActionPlanTemplateItemValueChangeEvent,,Action Plan Template Item Value Change Event
ActionPlanTemplateVersion,,Action Plan Template Version
ActionPlanTemplateVersionChangeEvent,,Action Plan Template Version Change Event
CaseSubjectParticle,,Case Subject Particle
WaveCompatibilityCheckItem,,Wave Compatibility Check Item
CMSConnectPersonalization,,CMS Connect Personalization
TrackedLink,,Tracked Link
TrackedLinkChangeEvent,,Tracked Link Change Event
DatasetExport,,Dataset Export
DatasetExportPart,,Dataset Export Part
CMSConnectResourceDefinition,,CMS Connect Resource Definition
DatasetExportEvent,,Dataset Export Event
ReportEvent,,Report Event
LightningComponentBundle,,Lightning Web Component Bundle
LightningComponentResource,,Lightning Component Resource
UserNavItem,,Nav Item
CMSConnectResourceType,,CMS Connect Resource Type
ContactSuggestionInsight,,Einstein Contact Suggestion
FlowCategory,,Flow Category
LightningBolt,,Lightning Bolt
LinkedInLeadGenAdAccount,,LinkedIn Lead Gen Ad Account
LinkedInLeadGenConfig,,LinkedIn Lead Gen Config
MarketingLink,,Marketing Link
MarketingLinkFeed,,Marketing Link Feed
MarketingLinkChangeEvent,,Marketing Link Change Event
ReturnOrder,,Return Order
ReturnOrderShare,,Return Order Share
ReturnOrderOwnerSharingRule,,Return Order Owner Rule
ReturnOrderHistory,,Return Order History
ReturnOrderFeed,,Return Order Feed
ReturnOrderChangeEvent,,Return Order Change Event
RecommendationStrategy,,Recommendation Strategy
ScorecardAssociation,,Scorecard Association
