QualifiedApiName,NamespacePrefix,Label
ContentDocumentChangeEvent,,Content Document Change Event
ContentDocumentLink,,Content Document Link
ContentDocumentLinkChangeEvent,,Content Document Link Change Event
FolderedContentDocument,,Foldered Content Document
ContentFolderItem,,Content Folder Item
ContentWorkspace,,Library
ContentWorkspaceDoc,,Library Document
ContentWorkspacePermission,,Library Permission
ContentVersionRenditionContent,,Content Rendition
ContentTagName,,Content Tag
ContentVersionTagName,,Content Tag Name
ContentTagSubscription,,Content Tag Subscription
ContentVersionComment,,Content Version Comment
ContentNotification,,Content Notification
ContentVersionRating,,Content Version Rating
ContentWorkspaceSubscription,,Content Workspace Subscription
ContentDocumentSubscription,,Content Document Subscription
ContentWorkspaceMember,,Library Member
ContentUserSubscription,,Content User Subscription
ContentDistribution,,Content Delivery
ContentDistributionView,,Content Delivery View
AttachedContentDocument,,Attached Content Document
CombinedAttachment,,"Note, Attachment, Google Doc And File"
OwnedContentDocument,,User Owned File
ContentFolderLink,,Content Folder Link
ContentFolderMember,,Content Folder Member
Note,,Note
NoteAndAttachment,,Note and Attachment
CronJobDetail,,Cron Job
CronTrigger,,Scheduled Jobs
Experiment,,Experiment
FeedItem,,Feed Item
FeedTrackedChange,,Feed Tracked Change
FeedComment,,Feed Comment
FeedLike,,Feed Like
FeedAttachment,,Feed Attachment
FeedPollChoice,,Feed Poll Choice
FeedPollVote,,Feed Poll Vote
EntitySubscription,,Entity Subscription
GroupSubscription,,Group Subscription
Photo,,Photo
CollaborationGroup,,Group
CollaborationGroupFeed,,Group Feed
CollaborationGroupMember,,Group Member
CollaborationGroupMemberRequest,,Group Member Request
CollaborationInvitation,,Chatter Invitation
ChatterActivity,,Chatter Activity
ChatterMessage,,Chatter Message
ChatterMessageThread,,Chatter Message Thread
ChatterConversation,,Chatter Conversation
ChatterConversationMember,,Chatter Conversation Member
DirectMessage,,Direct Message
DirectMessageFeed,,Direct Message Feed
DirectMessageMember,,Direct Message Member
NotificationMember,,Notification Member
FeedRevision,,Feed Revision
PushTopic,,Push Topic
Translation,,Language Translation
LocalizedValue,,Translation
CurrencyType,,Currency Type
DatedConversionRate,,Dated Conversion Rate
ExternalString,,Custom Label
ExternalStringLocalization,,Custom Label Translation
PackageMember,,Package Member
PackageMemberOwnerSharingRule,,Package Member Owner Rule
AllPackage,,Package
AllPackageVersion,,Package Version
AllPackageVersionLm,,All Package Version Lm
AllManagedPackageMember,,All Managed Package Member
AllManagedMemberOption,,All Managed Member Option
AllInstalledPackageVersion,,All Installed Package Version
PackageEvent,,Package Event
PushUpgradeRequest,,Push Upgrade Request
PushUpgradeJob,,Push Upgrade Job
PushUpgradeJobError,,Push Upgrade Job Error
PackageOperationError,,Package Operation Error
MetadataPackageVersion,,Metadata Package Version
MetadataPackage,,Metadata Package
SubscriberPackage,,Subscriber Package
SubscriberPackageVersion,,Subscriber Package Version
InstalledSubscriberPackage,,Installed Subscriber Package
Report,,Report
ReportLocalization,,Translation
ReportFeed,,Report Feed
CustomReportType,,Custom Report Type
CustomReportTypeLocalization,,Translation
CrtColumnLocalization,,Translation
CrtLayoutSectionLocalization,,Translation
Dashboard,,Dashboard
DashboardLocalization,,Translation
DashboardFeed,,Dashboard Feed
DashboardComponent,,Dashboard Component
DashboardComponentLocalization,,Translation
DashboardComponentFeed,,Dashboard Component Feed
WorkflowRule,,Workflow Rule
AssignmentRule,,Assignment Rule
AutoResponseRule,,Auto-Response Rule
WorkflowFieldUpdate,,Field Update
WorkflowOutboundMessage,,Workflow Outbound Message
WorkflowTask,,Workflow Task
ActionTaskLocalization,,Translation
WorkflowAlert,,Email Alert
ProcessDefinition,,Process Definition
ProcessNode,,Process Node
ProcessTransitionActionLocalization,,Translation
PostTemplate,,Approval Post Template
ProcessInstance,,Process Instance
ProcessInstanceChangeEvent,,Process Instance Change Event
ProcessInstanceStep,,Process Instance Step
ProcessInstanceStepChangeEvent,,Process Instance Step Change Event
ProcessInstanceWorkitem,,Approval Request
ProcessInstanceHistory,,Process Instance History
ApexClass,,Apex Class
ApexTrigger,,Apex Trigger
ApexLog,,Apex Debug Log
ApexTestResult,,Application Test Result
AsyncApexJob,,Apex Job
ApexTestQueueItem,,Apex Test Queue Item
UserRole,,Role
Group,,Group
GroupMember,,Group Member
QueueSobject,,Queue sObject
UserMembershipSharingRule,,User Membership Sharing Rule
CustomShareRowCauseLocalization,,Translation
SharingSet,,Sharing Set
UserRecordAccess,,User Record Access
GenericRecordUserAccess,,Generic Record User Access
AccountRecordUserAccess,,Account Record User Access
ApexPage,,Visualforce Page
ApexComponent,,Visualforce Component
StaticResource,,Static Resource
UserLicense,,User License
PackageLicense,,Package License
UserPackageLicense,,User Package License
CrossOrgLimitUsageHistory,,XI Limit Usage History
Profile,,Profile
ProfileLocalization,,Translation
CustomPermissionSet,,Permission Set
PermissionSetAssignment,,Permission Set Assignment
ObjectPermissions,,Object Permissions
FieldPermissions,,Field Permissions
SetupEntityAccess,,Setup Entity Access
SetupAuditTrail,,Setup Audit Trail Entry
DelegateGroup,,Delegated Group
DelegateGroupMember,,Delegated Administrators
DelegateGroupGrant,,Delegated Group Grant
LoginIpRange,,Login IP Range
Task,,Task
TaskFeed,,Task Feed
TaskChangeEvent,,Task Change Event
Event,,Event
EventFeed,,Event Feed
EventChangeEvent,,Event Change Event
EventRecurrenceException,,Event Recurrence Exception
TaskRecurrenceException,,Task Recurrence Exception
Calendar,,Calendar
TaskRelation,,Task Relation
TaskRelationChangeEvent,,Task Relation Change Event
EventRelation,,Event Relation
EventRelationChangeEvent,,Event Relation Change Event
TaskWhoRelation,,Task Who Relation
EventWhoRelation,,Event Who Relation
AcceptedEventRelation,,Accepted Event Relation
UndecidedEventRelation,,Undecided Event Relation
DeclinedEventRelation,,Declined Event Relation
LookedUpFromActivity,,Lookups from Activity
OpenActivity,,Open Activity
ActivityHistory,,Activity History
DataCategoryGroupLocalization,,Translation
DataCategoryLocalization,,Translation
CategoryNode,,Category Node
CategoryNodeLocalization,,Category Node Localization
CategoryData,,Category Data
Site,,Site
SiteHistory,,Site History
SiteFeed,,Site
CrossOrgSite,,All Domain Mapping
SiteRedirectMapping,,Site Redirect Mapping
Domain,,Domain
DomainSite,,Custom URL
FlowDefinition,,Flow Definition
FlowDefinitionLocalization,,Translation
Flow,,Flow Version
InteractionDefinitionVersionLocalization,,Translation
InteractionQuestionLocalization,,Translation
InteractionChoiceLocalization,,Translation
InteractionFormLocalization,,Translation
InteractionResourceLocalization,,Translation
OrgWideEmailAddress,,Organization-wide From Email Address
OrgEmailAddressSecurity,,Organization Email Address Security
Network,,Experience
NetworkMemberGroup,,Network Member Group
NetworkMember,,Site Member
NetworkModeration,,Community Moderation
CustomTab,,Custom Tab Definition
CustomTabDefinitionLocalization,,Translation
PermissionSetTabSetting,,Permission Set Tab Setting
CustomApplication,,Custom App
TabSetLocalization,,Translation
CustomBrand,,Custom Brand
CustomBrandAsset,,Custom Brand Asset
LoginBrand,,Login Brand
LoginBrandAsset,,Brand Asset
EmailBrand,,Email Brand
AppManifest,,Connected App
AppManifestVersion,,Application Version
AppIpRange,,Application IP Range
ConnectedApplication,,Connected App
AuthProvider,,Auth. Provider
OauthConsumer,,Remote Access
Certificate,,Certificates and Keys
ServiceProvider,,Service Provider
OauthConsumerScope,,Oauth Consumer Scope
IdpEventLog,,Identity Provider Event Log
LoginGeo,,Login Geo Data
EmailServicesFunction,,Email Service
EmailServicesAddress,,Email Services Address
S2XEventMap,,S2XEventMap
KnowledgeableUser,,Knowledgeable User
Topic,,Topic
TopicLocalization,,Translation
TopicFeed,,Topic Feed
TopicAssignment,,Topic Assignment
TopicUserEvent,,Topic User Event
User,,User
UserShare,,User Share
UserHistory,,User History
UserFeed,,User Feed
UserChangeEvent,,User Change Event
UserLogin,,User Login
AllUsersBasic,,All Users Basic
UserPreference,,User Preference
AuthSession,,Auth Session
Territory2,,Territory
ObjectTerritory2Association,,Object Territory Association
UserTerritory2Association,,User Territory Association
ListView,,List View
ContentNote,,Note
AttachedContentNote,,Note
EmailMessage,,Email Message
EmailMessageChangeEvent,,Email Message Change Event
EmailMessageRelation,,Email Message Relation
UserFavorite,,Favorite
ActionOverride,,Standard Action Override
PermissionSetLicense,,Permission Set License
VerificationHistory,,Identity Verification History
VoiceCall,,Voice Call
VoiceCallShare,,Voice Call Share
VoiceCallOwnerSharingRule,,Voice Call Owner Rule
VoiceCallFeed,,Voice Call Feed
VoiceCallChangeEvent,,Voice Call Change Event
Activity,,Activity
ActivityFeed,,__MISSING LABEL__ PropertyFile - val Activity not found in section StandardFeedLabel
ContentBody,,Content Body
OpportunityScore,,Opportunity Score
ServiceAppointmentStatus,,Service Appointment Status Value
WorkOrderLineItemStatus,,Work Order Line Item Status Value
WorkOrderStatus,,Work Order Status Value
RecordRecommendation,,Record Recommendation
RecordVisibility,,Record Visibility
FeedSignal,,Feed Signal
RecommendationFeedback,,Recommendation Feedback
VoiceCallRecording,,Voice Call Recording
VoiceCallRecordingChangeEvent,,Voice Call Recording Change Event
AccountUserTerritory2View,,Account User Territory2 View
Individual,,Individual
IndividualShare,,Individual Share
IndividualOwnerSharingRule,,Individual Owner Sharing Rule
IndividualHistory,,Individual History
IndividualChangeEvent,,Individual Change Event
ConversationEntry,,Conversation Entry
OrderStatus,,Order Status Value
FieldSecurityClassification,,Field Security Classification
MutingPermissionSet,,Muting Permission Set
OrderItemType,,Order Product Type
ShiftStatus,,Shift Status Value
Conversation,,Conversation
ConversationParticipant,,Conversation Participant
DeleteEvent,,Recycle Bin Item
LoyaltyLedger,,Loyalty Ledger
LoyaltyLedgerChangeEvent,,Loyalty Ledger Change Event
TransactionJournal,,Transaction Journal
TransactionJournalChangeEvent,,Transaction Journal Change Event
WorkStepStatus,,Work Step Status Value
DeliveryTaskStatus,,Delivery Task Status
ContextParamMap,,Context Param Map
JournalReason,,Journal Reason
Participant,,Participant
ProductServiceCampaignItemStatus,,Product Service Campaign Item Status
ProductServiceCampaignStatus,,Product Service Campaign Status
AttributeValueStoreChangeEvent,,Attribute Value Store Change Event
LoyaltyAggrPointExprLedger,,Loyalty Aggregated Point Expiration Ledger
LoyaltyAggrPointExprLedgerChangeEvent,,Loyalty Aggregated Point Expiration Ledger Change Event
ActivityFieldChange,,Activity Field Change
EngagementAttendee,,Engagement Attendee
EngagementAttendeeHistory,,Engagement Attendee History
EngagementAttendeeFeed,,Engagement Attendee Feed
EngagementAttendeeChangeEvent,,Engagement Attendee Change Event
EngagementInteraction,,Engagement Interaction
EngagementInteractionShare,,Engagement Interaction Share
EngagementInteractionHistory,,Engagement Interaction History
EngagementInteractionFeed,,Engagement Interaction Feed
EngagementInteractionChangeEvent,,Engagement Interaction Change Event
EngagementTopic,,Engagement Topic
EngagementTopicHistory,,Engagement Topic History
