EntityDefinition.QualifiedApiName,QualifiedApiName,DataType
sfsp__SalesNodeExternalAsset__c,LastModifiedById,Lookup(User)
sfsp__SalesNodeExternalAsset__c,LastModifiedDate,Date/Time
sfsp__SalesNodeExternalAsset__c,MayEdit,Checkbox
sfsp__SalesNodeExternalAsset__c,Name,Text(80)
sfsp__SalesNodeExternalAsset__c,OwnerId,"Lookup(User,Group)"
sfsp__SalesNodeExternalAsset__c,RecordVisibilityId,Lookup(Record Visibility)
sfsp__SalesNodeExternalAsset__c,sfsp__AssetId__c,Text(255)  (External ID)
sfsp__SalesNodeExternalAsset__c,sfsp__AssetType__c,Text(255)
sfsp__SalesNodeExternalAsset__c,sfsp__SalesNode__c,Lookup(Sales Node)
sfsp__SalesNodeExternalAsset__c,SystemModstamp,Date/Time
sfsp__SalesNodeExternalAsset__c,UserRecordAccessId,Lookup(User Record Access)
sfsp__SalesNodeMetric__c,CreatedById,Lookup(User)
sfsp__SalesNodeMetric__c,CreatedDate,Date/Time
sfsp__SalesNodeMetric__c,CurrencyIsoCode,Picklist
sfsp__SalesNodeMetric__c,External_ID__c,Text(255)  (External ID) (Unique Case Insensitive)
sfsp__SalesNodeMetric__c,Id,Lookup()
sfsp__SalesNodeMetric__c,IsDeleted,Checkbox
sfsp__SalesNodeMetric__c,IsLocked,Checkbox
sfsp__SalesNodeMetric__c,LastModifiedById,Lookup(User)
sfsp__SalesNodeMetric__c,LastModifiedDate,Date/Time
sfsp__SalesNodeMetric__c,MayEdit,Checkbox
sfsp__SalesNodeMetric__c,Name,Text(80)
sfsp__SalesNodeMetric__c,OwnerId,"Lookup(User,Group)"
sfsp__SalesNodeMetric__c,RecordVisibilityId,Lookup(Record Visibility)
sfsp__SalesNodeMetric__c,sfsp__SalesMetric__c,Lookup(Sales Metric)
sfsp__SalesNodeMetric__c,sfsp__SalesNode__c,Lookup(Sales Node)
sfsp__SalesNodeMetric__c,sfsp__SalesPlan__c,Lookup(Sales Plan)
sfsp__SalesNodeMetric__c,sfsp__Target_Month10__c,"Number(18, 0)"
sfsp__SalesNodeMetric__c,sfsp__Target_Month11__c,"Number(18, 0)"
sfsp__SalesNodeMetric__c,sfsp__Target_Month12__c,"Number(18, 0)"
sfsp__SalesNodeMetric__c,sfsp__Target_Month1__c,"Number(18, 0)"
sfsp__SalesNodeMetric__c,sfsp__Target_Month2__c,"Number(18, 0)"
sfsp__SalesNodeMetric__c,sfsp__Target_Month3__c,"Number(18, 0)"
sfsp__SalesNodeMetric__c,sfsp__Target_Month4__c,"Number(18, 0)"
sfsp__SalesNodeMetric__c,sfsp__Target_Month5__c,"Number(18, 0)"
sfsp__SalesNodeMetric__c,sfsp__Target_Month6__c,"Number(18, 0)"
sfsp__SalesNodeMetric__c,sfsp__Target_Month7__c,"Number(18, 0)"
sfsp__SalesNodeMetric__c,sfsp__Target_Month8__c,"Number(18, 0)"
sfsp__SalesNodeMetric__c,sfsp__Target_Month9__c,"Number(18, 0)"
sfsp__SalesNodeMetric__c,sfsp__TargetOverrideAmount__c,"Number(18, 0)"
sfsp__SalesNodeMetric__c,sfsp__TargetOverrideType__c,Picklist
sfsp__SalesNodeMetric__c,SystemModstamp,Date/Time
sfsp__SalesNodeMetric__c,UserRecordAccessId,Lookup(User Record Access)
sfsp__SalesNodeRuleItem__c,CreatedById,Lookup(User)
sfsp__SalesNodeRuleItem__c,CreatedDate,Date/Time
sfsp__SalesNodeRuleItem__c,CurrencyIsoCode,Picklist
sfsp__SalesNodeRuleItem__c,External_Id__c,Text(255)  (External ID) (Unique Case Insensitive)
sfsp__SalesNodeRuleItem__c,Id,Lookup()
sfsp__SalesNodeRuleItem__c,IsDeleted,Checkbox
sfsp__SalesNodeRuleItem__c,IsLocked,Checkbox
sfsp__SalesNodeRuleItem__c,LastModifiedById,Lookup(User)
sfsp__SalesNodeRuleItem__c,LastModifiedDate,Date/Time
sfsp__SalesNodeRuleItem__c,MayEdit,Checkbox
sfsp__SalesNodeRuleItem__c,Name,Text(80)
sfsp__SalesNodeRuleItem__c,RecordVisibilityId,Lookup(Record Visibility)
sfsp__SalesNodeRuleItem__c,sfsp__Field__c,Text(255)
sfsp__SalesNodeRuleItem__c,sfsp__Operator__c,Picklist
sfsp__SalesNodeRuleItem__c,sfsp__SalesNodeRule__c,Master-Detail(Sales Node Rule)
sfsp__SalesNodeRuleItem__c,sfsp__SortOrder__c,"Number(18, 0)"
sfsp__SalesNodeRuleItem__c,sfsp__Value__c,Long Text Area(32768)
sfsp__SalesNodeRuleItem__c,SystemModstamp,Date/Time
sfsp__SalesNodeRuleItem__c,UserRecordAccessId,Lookup(User Record Access)
sfsp__SalesNodeRule__c,CreatedById,Lookup(User)
sfsp__SalesNodeRule__c,CreatedDate,Date/Time
sfsp__SalesNodeRule__c,CurrencyIsoCode,Picklist
sfsp__SalesNodeRule__c,External_Id__c,Text(255)  (External ID) (Unique Case Insensitive)
sfsp__SalesNodeRule__c,Id,Lookup()
sfsp__SalesNodeRule__c,IsDeleted,Checkbox
sfsp__SalesNodeRule__c,IsLocked,Checkbox
sfsp__SalesNodeRule__c,LastModifiedById,Lookup(User)
sfsp__SalesNodeRule__c,LastModifiedDate,Date/Time
sfsp__SalesNodeRule__c,MayEdit,Checkbox
sfsp__SalesNodeRule__c,Name,Text(80)
sfsp__SalesNodeRule__c,OwnerId,"Lookup(User,Group)"
sfsp__SalesNodeRule__c,RecordVisibilityId,Lookup(Record Visibility)
sfsp__SalesNodeRule__c,sfsp__BooleanFilter__c,Text Area(255)
sfsp__SalesNodeRule__c,sfsp__FilterLogic__c,Picklist
sfsp__SalesNodeRule__c,sfsp__SalesAssignmentObject__c,Lookup(Sales Assignment Object)
sfsp__SalesNodeRule__c,sfsp__SalesNode__c,Lookup(Sales Node)
sfsp__SalesNodeRule__c,sfsp__SalesNodeBoundary__c,Lookup(Sales Node Boundary)
sfsp__SalesNodeRule__c,sfsp__SortOrder__c,"Number(18, 0)"
sfsp__SalesNodeRule__c,SystemModstamp,Date/Time
sfsp__SalesNodeRule__c,UserRecordAccessId,Lookup(User Record Access)
sfsp__SalesNodeUser__c,CreatedById,Lookup(User)
sfsp__SalesNodeUser__c,CreatedDate,Date/Time
sfsp__SalesNodeUser__c,CurrencyIsoCode,Picklist
sfsp__SalesNodeUser__c,Id,Lookup()
sfsp__SalesNodeUser__c,IsDeleted,Checkbox
sfsp__SalesNodeUser__c,IsLocked,Checkbox
sfsp__SalesNodeUser__c,LastModifiedById,Lookup(User)
sfsp__SalesNodeUser__c,LastModifiedDate,Date/Time
sfsp__SalesNodeUser__c,MayEdit,Checkbox
sfsp__SalesNodeUser__c,Name,Auto Number
sfsp__SalesNodeUser__c,OwnerId,"Lookup(User,Group)"
sfsp__SalesNodeUser__c,RecordVisibilityId,Lookup(Record Visibility)
sfsp__SalesNodeUser__c,sfsp__Role__c,Text(255)
sfsp__SalesNodeUser__c,sfsp__SalesNode__c,Lookup(Sales Node)
sfsp__SalesNodeUser__c,sfsp__User__c,Lookup(User)
sfsp__SalesNodeUser__c,SystemModstamp,Date/Time
sfsp__SalesNodeUser__c,UserRecordAccessId,Lookup(User Record Access)
sfsp__SalesNode__c,CreatedById,Lookup(User)
sfsp__SalesNode__c,CreatedDate,Date/Time
sfsp__SalesNode__c,CurrencyIsoCode,Picklist
sfsp__SalesNode__c,External_ID__c,Text(255)  (External ID) (Unique Case Insensitive)
sfsp__SalesNode__c,Id,Lookup()
sfsp__SalesNode__c,IsDeleted,Checkbox
sfsp__SalesNode__c,IsLocked,Checkbox
sfsp__SalesNode__c,LastModifiedById,Lookup(User)
sfsp__SalesNode__c,LastModifiedDate,Date/Time
sfsp__SalesNode__c,MayEdit,Checkbox
sfsp__SalesNode__c,Name,Text(80)
sfsp__SalesNode__c,OwnerId,"Lookup(User,Group)"
sfsp__SalesNode__c,RecordVisibilityId,Lookup(Record Visibility)
sfsp__SalesNode__c,sfsp__AssignmentBehavior__c,Picklist
sfsp__SalesNode__c,sfsp__Color__c,Text(80)
sfsp__SalesNode__c,sfsp__HierarchyReferenceData__c,Long Text Area(131072)
sfsp__SalesNode__c,sfsp__Owner__c,Lookup(User)
sfsp__SalesNode__c,sfsp__Parent__c,Lookup(Sales Node)
sfsp__SalesNode__c,sfsp__Priority__c,"Number(18, 0)"
sfsp__SalesNode__c,sfsp__QuotaConfig__c,Long Text Area(32768)
sfsp__SalesNode__c,sfsp__QuotaRollup__c,"Number(18, 0)"
sfsp__SalesNode__c,sfsp__ReferenceFields__c,Long Text Area(131072)
sfsp__SalesNode__c,sfsp__RuleLogics__c,Long Text Area(32768)
sfsp__SalesNode__c,sfsp__SalesPlan__c,Lookup(Sales Plan)
sfsp__SalesNode__c,sfsp__SalesPlanNode__c,Lookup(Sales Node)
sfsp__SalesNode__c,sfsp__Segment__c,Lookup(Sales Node)
sfsp__SalesNode__c,sfsp__SegmentConfig__c,Long Text Area(32768)
sfsp__SalesNode__c,sfsp__StampDataSourceId__c,Text(255)
sfsp__SalesNode__c,sfsp__Target__c,"Number(18, 0)"
sfsp__SalesNode__c,SystemModstamp,Date/Time
sfsp__SalesNode__c,UserRecordAccessId,Lookup(User Record Access)
sfsp__SalesPlanUser__c,CreatedById,Lookup(User)
sfsp__SalesPlanUser__c,CreatedDate,Date/Time
sfsp__SalesPlanUser__c,CurrencyIsoCode,Picklist
sfsp__SalesPlanUser__c,Id,Lookup()
sfsp__SalesPlanUser__c,IsDeleted,Checkbox
sfsp__SalesPlanUser__c,IsLocked,Checkbox
sfsp__SalesPlanUser__c,LastModifiedById,Lookup(User)
sfsp__SalesPlanUser__c,LastModifiedDate,Date/Time
sfsp__SalesPlanUser__c,MayEdit,Checkbox
sfsp__SalesPlanUser__c,Name,Auto Number
sfsp__SalesPlanUser__c,OwnerId,"Lookup(User,Group)"
sfsp__SalesPlanUser__c,RecordVisibilityId,Lookup(Record Visibility)
sfsp__SalesPlanUser__c,sfsp__Role__c,Text(255)
sfsp__SalesPlanUser__c,sfsp__SalesPlan__c,Lookup(Sales Plan)
sfsp__SalesPlanUser__c,sfsp__User__c,Lookup(User)
sfsp__SalesPlanUser__c,SystemModstamp,Date/Time
sfsp__SalesPlanUser__c,UserRecordAccessId,Lookup(User Record Access)
sfsp__SalesPlan__c,CreatedById,Lookup(User)
sfsp__SalesPlan__c,CreatedDate,Date/Time
sfsp__SalesPlan__c,CurrencyIsoCode,Picklist
sfsp__SalesPlan__c,External_ID__c,Text(255)  (External ID) (Unique Case Insensitive)
sfsp__SalesPlan__c,Id,Lookup()
sfsp__SalesPlan__c,IsDeleted,Checkbox
sfsp__SalesPlan__c,IsLocked,Checkbox
sfsp__SalesPlan__c,LastModifiedById,Lookup(User)
sfsp__SalesPlan__c,LastModifiedDate,Date/Time
sfsp__SalesPlan__c,MayEdit,Checkbox
sfsp__SalesPlan__c,Name,Text(80)
sfsp__SalesPlan__c,OwnerId,"Lookup(User,Group)"
sfsp__SalesPlan__c,RecordVisibilityId,Lookup(Record Visibility)
sfsp__SalesPlan__c,sfsp__AssignmentBehavior__c,Picklist
sfsp__SalesPlan__c,sfsp__Description__c,Text Area(255)
sfsp__SalesPlan__c,sfsp__DueDate__c,Date/Time
sfsp__SalesPlan__c,sfsp__FiscalYearStartDate__c,Date/Time
sfsp__SalesPlan__c,sfsp__HierarchyReference__c,Long Text Area(131072)
sfsp__SalesPlan__c,sfsp__Owner__c,Lookup(User)
sfsp__SalesPlan__c,sfsp__Parent__c,Lookup(Sales Plan)
sfsp__SalesPlan__c,sfsp__Period__c,Text(18)
sfsp__SalesPlan__c,sfsp__ProductConfig__c,Long Text Area(32768)
sfsp__SalesPlan__c,sfsp__QuotaConfig__c,Long Text Area(32768)
sfsp__SalesPlan__c,sfsp__ReferenceFields__c,Long Text Area(32768)
sfsp__SalesPlan__c,sfsp__SalesDataSource__c,Lookup(Sales Data Source)
sfsp__SalesPlan__c,sfsp__Status__c,Picklist
sfsp__SalesPlan__c,sfsp__Type__c,Picklist
sfsp__SalesPlan__c,sfsp__Version__c,Text(20)
sfsp__SalesPlan__c,SystemModstamp,Date/Time
sfsp__SalesPlan__c,UserRecordAccessId,Lookup(User Record Access)
sfsp__SalesProduct__c,CreatedById,Lookup(User)
sfsp__SalesProduct__c,CreatedDate,Date/Time
sfsp__SalesProduct__c,CurrencyIsoCode,Picklist
sfsp__SalesProduct__c,Id,Lookup()
sfsp__SalesProduct__c,IsDeleted,Checkbox
sfsp__SalesProduct__c,IsLocked,Checkbox
sfsp__SalesProduct__c,LastModifiedById,Lookup(User)
sfsp__SalesProduct__c,LastModifiedDate,Date/Time
sfsp__SalesProduct__c,MayEdit,Checkbox
sfsp__SalesProduct__c,Name,Text(80)
sfsp__SalesProduct__c,OwnerId,"Lookup(User,Group)"
sfsp__SalesProduct__c,RecordVisibilityId,Lookup(Record Visibility)
sfsp__SalesProduct__c,sfsp__Config__c,Long Text Area(32768)
sfsp__SalesProduct__c,sfsp__Description__c,Text Area(255)
sfsp__SalesProduct__c,sfsp__Parent__c,Lookup(Sales Product)
sfsp__SalesProduct__c,sfsp__SalesPlan__c,Lookup(Sales Plan)
sfsp__SalesProduct__c,SystemModstamp,Date/Time
sfsp__SalesProduct__c,UserRecordAccessId,Lookup(User Record Access)
sfsp__SalesUserAccess__c,CreatedById,Lookup(User)
sfsp__SalesUserAccess__c,CreatedDate,Date/Time
sfsp__SalesUserAccess__c,CurrencyIsoCode,Picklist
sfsp__SalesUserAccess__c,Id,Lookup()
sfsp__SalesUserAccess__c,IsDeleted,Checkbox
sfsp__SalesUserAccess__c,IsLocked,Checkbox
sfsp__SalesUserAccess__c,LastModifiedById,Lookup(User)
sfsp__SalesUserAccess__c,LastModifiedDate,Date/Time
sfsp__SalesUserAccess__c,MayEdit,Checkbox
sfsp__SalesUserAccess__c,Name,Auto Number
sfsp__SalesUserAccess__c,OwnerId,"Lookup(User,Group)"
sfsp__SalesUserAccess__c,RecordVisibilityId,Lookup(Record Visibility)
sfsp__SalesUserAccess__c,sfsp__AccessLevel__c,Picklist
sfsp__SalesUserAccess__c,sfsp__ApplicationAccess__c,Picklist (Multi-Select)
sfsp__SalesUserAccess__c,sfsp__SalesNode__c,Lookup(Sales Node)
sfsp__SalesUserAccess__c,sfsp__SalesPlan__c,Lookup(Sales Plan)
sfsp__SalesUserAccess__c,sfsp__User__c,Lookup(User)
sfsp__SalesUserAccess__c,SystemModstamp,Date/Time
sfsp__SalesUserAccess__c,UserRecordAccessId,Lookup(User Record Access)
sfsp__SalesUserPreference__c,CreatedById,Lookup(User)
sfsp__SalesUserPreference__c,CreatedDate,Date/Time
sfsp__SalesUserPreference__c,CurrencyIsoCode,Picklist
sfsp__SalesUserPreference__c,Id,Lookup()
sfsp__SalesUserPreference__c,IsDeleted,Checkbox
sfsp__SalesUserPreference__c,IsLocked,Checkbox
sfsp__SalesUserPreference__c,LastModifiedById,Lookup(User)
sfsp__SalesUserPreference__c,LastModifiedDate,Date/Time
sfsp__SalesUserPreference__c,MayEdit,Checkbox
sfsp__SalesUserPreference__c,Name,Auto Number
sfsp__SalesUserPreference__c,OwnerId,"Lookup(User,Group)"
sfsp__SalesUserPreference__c,RecordVisibilityId,Lookup(Record Visibility)
sfsp__SalesUserPreference__c,sfsp__AccessLevel__c,Picklist
sfsp__SalesUserPreference__c,sfsp__Preferences__c,Long Text Area(131072)
sfsp__SalesUserPreference__c,sfsp__SalesNode__c,Lookup(Sales Node)
sfsp__SalesUserPreference__c,sfsp__SalesPlan__c,Lookup(Sales Plan)
sfsp__SalesUserPreference__c,sfsp__User__c,Lookup(User)
sfsp__SalesUserPreference__c,SystemModstamp,Date/Time
sfsp__SalesUserPreference__c,UserRecordAccessId,Lookup(User Record Access)
